section_id,goods_train_flag,krank_special_flag,train_length_m,train_type,priority_class,goods_corridor_active,historical_goods_throughput,line_type,signaling_system,block_section_line,weather_severity,flat_tyre_incidents_last_hr,maintenance_block_active,headway_ahead_min,current_delay_prev_min,section_speed_profile,congestion_next_block,time_of_day_hour,protocol_id,delay_next_min,recommended_action
S010,1,0,583.5486646779179,express,3,1,8.455176808003388,single,AT,Down,2,0,0,12.316955696508115,12.019707955890643,106.35143357920637,0,4.821782859393578,PR109,18.455443936981332,NORMAL
S011,0,0,642.6744870179166,express,3,0,7.814474385825013,multiple,ABS,Down,3,0,0,15.406431493762286,0.3230027661863104,74.3675997966119,1,17.215066302793737,G&R.68,16.1789227372653,NORMAL
S012,0,0,693.11804692644,goods,4,0,8.767042300167514,multiple,ABS,Down,5,0,0,13.455500555399025,14.163663426935816,80.39220229442549,2,1.5835377161803557,S.R.22.01,10.765936989173213,NORMAL
S013,1,1,577.7306659003657,goods,3,0,8.234772907442203,double,ABS,Down,2,0,0,10.757141666725788,3.6508627231246713,83.59988240488249,1,14.345283477587902,W2,0.01945051929474719,NORMAL
S014,1,1,780.6820118392002,goods,4,0,6.450148208664455,single,AT,Loop,2,0,0,9.901621029793722,0.3210259780888426,89.26602582985686,4,9.472052823935261,S.R.6.02,2.303011098007113,NORMAL
S015,1,0,510.5014542012431,goods,1,1,6.630006969252063,double,ABS,Up,2,0,0,10.94390031857956,5.159483028089031,108.41708095903755,4,9.617715629529792,PR102,11.482700654898998,SPEED_70kmph
S016,1,0,696.4292604676663,express,4,1,9.098180691918,single,ABS,Up,3,1,0,8.705048672877352,0.17577552457888215,101.26821904256425,3,23.1641997246176,G&R.67,49.849366772470425,NORMAL
S017,1,0,501.3727852510455,goods,3,0,6.526197352216843,double,ABS,Loop,3,0,0,10.629336673172524,11.161082444209647,93.38066610902555,4,15.261076304932883,S.R.6.01,4.273847714675748,ROUTE_LOOP
S018,1,0,566.7507974594135,goods,3,0,9.480607580067636,double,AT,Main,2,0,0,14.772852958556445,5.567372716473657,74.56748840030481,3,6.511502731431365,S.R.10.01,7.633885070788343,NORMAL
S019,1,0,681.8108484947353,goods,1,1,7.525061334195374,single,ABS,Down,4,0,0,7.06675214731155,4.899811562730557,100.40347978146085,1,3.323036768049789,S.R.7.01,1.8783718000998306,NORMAL
S020,1,1,731.1175517706369,express,3,0,9.847800097883677,single,ABS,Down,4,0,0,10.47690236662084,21.194784991050508,111.7014612091626,2,3.536310286213957,PR116,4.2327468955500915,NORMAL
S021,1,0,568.2878724510092,goods,3,1,11.807374293276272,double,ABS,Main,2,0,0,13.837254771255711,0.37303178408151805,110.5691259011529,2,7.832974318394525,G&R.54,4.496666029706187,NORMAL
S022,1,0,755.186860191136,passenger,3,0,11.374782272682868,double,AWS,Up,4,0,0,10.187727302530378,2.187574524335331,99.36055697086002,3,10.410699949261648,S.R.19.01,4.909308955070204,NORMAL
S023,1,0,670.325626871608,express,1,1,5.9745521987621,single,AWS,Loop,1,0,0,17.439698378573965,0.26714571630773515,95.92399175077414,1,8.879678351925143,PR104,0.5618011373159887,NORMAL
S024,1,0,727.2019587998617,goods,3,1,8.759648811489281,double,AT,Down,0,1,0,15.85377708787941,3.5497732540443026,89.47081783923566,2,19.315382344131855,S.R.8.02,5.2234641099624515,NORMAL
S025,0,0,499.7187016470084,goods,1,1,4.532575711818286,double,AT,Down,4,0,0,14.67289212603436,0.37253318081181225,76.59381991126938,5,10.840548214477957,G&R.58,3.8774556656537698,NORMAL
S026,1,0,703.4510414108289,goods,3,0,9.209602105725498,single,ABS,Down,2,1,0,11.708102391711542,4.345042769186264,91.1293906973143,0,19.58584493077525,PR119,5.716736213920014,NORMAL
S027,1,0,740.1094303531083,express,4,0,6.833892539098146,double,AT,Up,1,0,1,11.81046843242485,5.6138484468521614,84.31913766590169,6,13.732073217590141,S.R.8.01,12.908038168306195,NORMAL
S028,1,0,593.9689128484135,goods,3,0,5.565666930665921,multiple,ABS,Up,3,0,0,19.90296771878905,2.793608791544062,83.22939410424215,2,3.388772527932102,G&R.69,8.151738634287668,NORMAL
S029,1,0,723.548772539266,passenger,3,1,7.7293297121908155,double,AWS,Down,0,0,0,13.12552816165346,4.691916455932059,94.63408917653027,3,11.544122354727577,S.R.18.01,1.0230735545853453,NORMAL
S030,1,0,754.0732724401576,goods,3,1,6.206050633334908,single,AWS,Loop,2,0,0,8.570216654342525,4.70730249543391,97.09391150602724,4,12.856222765691117,PR103,52.82772452815018,SPEED_60kmph
S031,1,0,839.2790822080838,goods,5,0,3.607801457042484,multiple,ABS,Main,2,0,0,14.699494498214987,0.10778318610758174,97.6182198906198,2,2.9751139093348407,PR114,31.657885042370694,NORMAL
S032,1,0,491.7688066472252,goods,3,1,5.832215913616704,multiple,ABS,Loop,0,0,0,13.220858949648942,1.2834419944239657,93.94643484816227,0,19.209335595127648,QREE,7.819834568919315,NORMAL
S033,0,0,517.5595308615236,express,1,1,10.385478846051333,single,ABS,Down,1,0,0,14.37827530376488,2.316103735825406,103.9681921779659,1,2.344131984291888,PR111,3.884870264810324,NORMAL
S034,0,0,545.8837217169051,passenger,4,1,7.607402616201485,single,AT,Up,2,0,0,6.206287232838825,2.643772855693222,81.47744868820402,0,18.791981925410408,PR101,0.6354857716480241,SPEED_90kmph
S035,0,0,608.4632774857089,passenger,4,0,6.426933007547849,multiple,ABS,Up,3,1,0,14.978436552686077,3.9875402279328167,83.57045234621548,4,3.64519391261371,PR103,7.57008763681371,SPEED_60kmph
S036,1,0,771.1816574589037,goods,1,1,7.469751707455827,double,ABS,Up,4,0,0,5.1747669291612395,8.144932330989695,73.34945748553054,1,10.240879438186004,PR105,1.899442843282963,NORMAL
S037,1,0,839.7564840101993,passenger,1,0,6.987557700085398,double,ABS,Down,2,0,0,17.58066486296901,5.511222585050671,100.19517889999373,6,23.26516720494891,S.R.16.01,2.2899059015118213,NORMAL
S038,1,0,644.5160085921176,goods,4,0,10.946328708140335,single,ABS,Down,0,1,0,14.313677490104041,1.7328190384576008,96.67283627088442,5,10.932001996021771,G&R.60,6.854668133270088,KRANK_PRIORITY
S039,1,0,678.993880520248,passenger,5,0,11.830201996165565,multiple,ABS,Main,1,0,0,3.9634558428113387,4.226595641805871,93.9144813281566,2,13.695436684806543,PR100,2.7104129888738706,WAIT_120s
S040,1,0,481.4067772766133,goods,3,0,8.957037813072429,multiple,AT,Loop,2,0,0,13.860975821615785,8.91516480967345,81.84798372899229,1,23.001667423940752,S.R.17.01,4.363454594110693,NORMAL
S041,1,0,509.7442055346564,goods,3,0,5.750613088860293,multiple,ABS,Main,2,0,0,8.625528011575813,4.172069473411615,104.33597628998287,2,22.876577659730035,S.R.20.01,69.90919386050633,NORMAL
S042,1,0,685.0810937878271,passenger,4,0,3.6941933142844494,single,AT,Up,4,0,0,19.147304451302002,2.599619169199062,81.82761083408042,3,4.886909248691315,PR100,4.2715726095658635,WAIT_120s
S043,0,1,477.9037600056777,goods,3,0,8.715084804331338,double,ABS,Up,1,0,0,10.344430582628068,0.36143859055138927,88.4404628489553,1,4.294781962843398,G&R.58,0.6924593112634037,NORMAL
S044,1,1,602.7323362485586,passenger,1,1,7.348216629907202,single,ABS,Down,0,0,0,4.359575411173964,3.155035890094864,87.11864352391378,3,8.282074026572378,G&R.61,12.050644404067675,NORMAL
S045,1,0,648.5696444484419,passenger,3,0,12.291947484786958,multiple,ABS,Up,4,0,0,14.569529952172573,0.5475842759852644,89.08560050981626,3,22.967103254630835,PR103,11.739714522468006,SPEED_60kmph
S046,1,1,574.1073792496526,goods,1,0,3.686052197798639,single,ABS,Main,3,0,0,14.768803707951818,0.21717189533260625,77.38380194027654,2,5.020498441446239,S.R.10.02,2.9053493196747575,NORMAL
S047,1,0,610.4430573864545,express,4,0,5.557208105706046,double,AT,Up,3,0,0,15.092674566259301,7.320393487285805,119.77577208798667,3,9.331887026278961,S.R.9.01,6.068842202078992,NORMAL
S048,1,0,485.5895618516107,goods,1,0,7.409189787046253,double,ABS,Main,1,0,0,15.294219833338962,0.7347297809444027,103.10185832872058,0,23.238147774359035,S.R.12.01,23.703363093455646,NORMAL
S049,1,0,405.5813308500577,goods,4,0,5.687376785895228,double,ABS,Down,2,0,0,18.33989631945857,0.18113147639828509,95.68695513706759,4,0.46298590898448655,G&R.61,7.197629495075219,NORMAL
S050,0,0,588.3640979371152,goods,4,1,4.538972228429046,double,AT,Up,3,0,0,6.756354775386283,1.128405867892604,95.96287010409739,1,16.688540822907896,S.R.17.01,0.9432615149472521,NORMAL
S051,0,0,718.279960789507,passenger,3,1,6.931989596406169,single,ABS,Down,2,0,0,20.40652761263409,2.690452935712925,91.26818627554502,4,17.00546216514524,PR101,1.653871220900407,SPEED_90kmph
S052,0,0,588.7629012737048,express,5,1,6.823985988098599,double,AWS,Down,0,0,0,5.814220911027942,3.012701480995272,97.31111410425073,0,0.5184049118737333,PR104,2.295202358146885,NORMAL
S053,0,0,473.3807926460378,express,1,1,7.966266595814042,single,ABS,Loop,2,0,0,13.471451459962884,1.0959110036681206,77.80509222736636,3,21.00631358779494,PR106,15.783355948667982,NORMAL
S054,1,0,593.1033449028206,passenger,3,1,9.507033076993416,multiple,AT,Up,5,1,0,10.536684658981466,13.602671159726409,94.99838391452197,3,12.672930480338888,PR111,28.26935645228485,NORMAL
S055,0,0,570.558961986899,express,4,1,6.538290120908104,multiple,AT,Loop,3,0,0,12.626412969834636,3.221560166914553,77.62727925278999,4,9.533175942413402,G&R.55,4.017582362518528,NORMAL
S056,1,0,593.0915035939332,passenger,1,0,10.567692996984427,single,ABS,Up,0,0,0,8.856589201533076,1.1487606296744903,74.97566068670612,0,2.3439281733532153,G&R.61,5.713560551745605,NORMAL
S057,1,0,748.3210196685304,goods,1,0,9.820608753837014,multiple,AT,Down,1,1,0,9.422265228275485,7.854353554440279,80.63754889892712,6,6.016221270965245,G&R.50,2.9615996197184593,NORMAL
S058,1,0,661.3091954512834,goods,1,1,8.350859854322177,double,ABS,Up,0,0,0,15.763395188016283,6.1836316994468,75.07416465958968,4,15.739490993060368,S.R.6.01,3.6167572164507726,ROUTE_LOOP
S059,1,0,618.9621918907036,goods,3,0,11.762414535994074,double,ABS,Main,0,0,0,12.853563966762897,1.6055646401503378,81.06409373671582,2,8.765163270259723,G&R.62,17.721499980815423,NORMAL
S060,1,1,599.6912892929416,goods,1,1,4.361292369985938,multiple,AT,Up,2,1,0,18.042500492135858,2.2565730472496806,91.06734382786472,4,2.962625677722748,M7,25.902415640473972,NORMAL
S061,1,0,574.1750085774353,express,1,0,9.412555938432915,multiple,AT,Loop,0,0,0,8.919212307279448,4.585195707179934,85.51823363710051,1,13.72321103072953,PR118,14.933603051953405,NORMAL
S062,0,0,508.5345159117672,goods,1,0,5.130060280522189,single,AT,Up,1,1,0,11.555659547880119,1.9623014871049742,93.29977095948487,4,12.282877118370472,S.R.6.04,4.136374417120996,NORMAL
S063,1,0,567.2575580658408,express,1,0,9.282968563271403,double,AWS,Up,4,0,0,13.251051681377321,12.489942768567666,88.97003308869685,2,5.5560918913886725,S.R.12.01,0.22895154647638033,NORMAL
S064,1,0,528.3033665214917,goods,1,0,10.019748674801146,single,ABS,Main,2,0,0,8.626055206216371,3.9155231366648584,129.01990394642323,2,14.607554809658978,G&R.69,11.893442397185636,NORMAL
S065,1,0,621.9135039264761,goods,4,0,11.374320653667107,double,ABS,Down,5,1,0,21.440582907118028,4.092646636587176,57.97295438695295,1,5.36974635470584,S.R.16.02,4.251290623380815,NORMAL
S066,1,0,531.472219993981,goods,4,0,10.077530174944494,single,ABS,Loop,2,0,0,7.168373977694543,25.69390564661762,68.63045748543007,4,2.4655839163059596,PR113,3.4077404672568976,NORMAL
S067,0,0,423.61862042498035,express,3,0,4.477985441054358,multiple,ABS,Down,2,0,0,5.777209440883129,9.094536014293505,110.26627163733143,0,15.851316153414032,G&R.51,5.637841772619947,NORMAL
S068,1,0,656.6980070136714,express,4,1,9.039159524594934,single,ABS,Up,1,0,0,17.051625854802406,1.960520531479174,88.8915372097381,2,20.511130288773714,PR119,4.898626375507392,NORMAL
S069,0,0,510.6633438907653,goods,4,0,8.84954648580945,double,ABS,Down,4,1,0,16.508690179135794,11.340745215984517,80.9153628674193,3,23.832792649382007,PR106,1.3947000626994577,NORMAL
S070,0,0,506.280493551378,goods,3,1,3.251592620232363,double,ABS,Up,0,0,0,10.943024926307775,0.5196202730674692,104.92713358271726,1,2.747983476202127,PR111,19.41824475463843,NORMAL
S071,1,0,573.0944747222791,goods,1,0,6.012753950196757,multiple,ABS,Down,2,0,0,13.147223970744797,3.7087515276147536,84.44677062285898,1,13.653218446415668,PR118,20.27136799292196,NORMAL
S072,1,0,453.61714905847236,goods,1,1,7.772569711608621,double,ABS,Main,0,0,0,17.82162752580381,6.874461892061129,86.23789339440118,0,1.7849573357912574,S.R.6.03,19.78570448195815,NORMAL
S073,0,0,558.8075592397392,goods,1,0,4.780216905651518,double,ABS,Loop,2,0,0,16.334851524599213,3.695101298608378,79.53525056962253,5,17.79180570993976,PR107,11.582626252088156,NORMAL
S074,0,0,680.2705377445997,goods,4,0,6.098270580267869,double,ABS,Main,0,1,0,10.779016160568373,7.560362217858752,87.33795060042908,2,20.65138479069555,S.R.8.02,11.261891527641117,NORMAL
S075,0,0,720.5357893369098,goods,1,1,10.439610476038654,single,ABS,Up,1,0,1,17.59863043518252,11.439077514148888,91.64271922133993,2,7.603953430849551,M3,22.851517064341564,NORMAL
S076,0,0,493.13244583505855,express,4,0,8.48880869916181,double,ABS,Down,1,0,0,17.974070852840477,2.4415349168460247,118.50289733445318,5,19.19951394756755,PR113,1.26914297565737,NORMAL
S077,1,0,739.4993516454317,passenger,4,1,7.840013088440692,multiple,ABS,Down,1,1,0,5.148848440473227,5.6618442167336145,104.69690065392554,5,14.86432448738512,PR111,9.435394600771346,NORMAL
S078,1,0,486.02623793648723,express,3,0,5.222748815681051,single,ABS,Up,2,0,0,15.006271856180993,6.076330297486122,99.47556509940442,2,20.702912800318106,S.R.22.01,20.75916217565194,NORMAL
S079,1,0,559.6950993461936,goods,1,0,6.558193669989096,single,ABS,Loop,4,1,0,8.292649054797437,1.1337257558316165,94.15203440525566,0,22.412356816453666,G&R.54,0.5965555931617754,NORMAL
S080,0,0,618.8264027100615,express,1,1,7.244557120879575,single,ABS,Down,0,0,0,15.658218088133536,3.0469819828161193,78.37245980878066,3,15.68622737332539,S.R.23.01,14.140873358620771,NORMAL
S081,1,0,732.8957648987272,goods,1,0,10.975353282722391,double,AT,Main,2,1,0,12.868324382106287,3.2312255742412823,88.10597059439228,1,13.842470481497426,S.R.16.02,0.8783711169287525,NORMAL
S082,1,0,482.3377458095168,passenger,5,0,5.809128058024421,single,ABS,Up,4,0,0,6.998499092959841,3.591571093226619,96.00877956278985,0,6.55461492897336,PR101,2.3268994478597884,SPEED_90kmph
S083,1,0,644.4383403788761,express,4,1,10.699834435763787,double,ABS,Up,3,1,0,8.601298747682575,1.0287383265958225,108.57337255172168,4,20.519983307595894,S.R.8.02,15.97245670781553,NORMAL
S084,1,0,334.63063607116874,goods,3,1,7.590216786689648,multiple,ABS,Down,0,0,1,10.437858867112244,0.5972751796073308,82.78635636225981,1,4.4995027919542325,S.R.24.01,6.0766005885982874,NORMAL
S085,1,0,676.7059893767143,goods,4,1,5.863894404256652,double,ABS,Up,1,0,0,13.408469186228222,5.920297857033358,123.30866822771056,3,12.794900164226247,S.R.8.02,3.8752182705096834,NORMAL
S086,0,0,499.13053474554937,express,3,0,12.604882479815913,double,AT,Up,2,0,0,9.941619239077468,0.2066667365976456,87.67807366024472,3,12.16839089872367,PR110,4.197925718167667,NORMAL
S087,1,0,661.637677440905,goods,3,0,9.441667649928958,multiple,ABS,Up,1,0,0,10.19587850642656,10.849752416276504,78.83910671040752,2,22.3158238595544,PR118,11.999769581858073,NORMAL
S088,0,0,444.09948681260624,goods,3,0,6.047258163780748,double,ABS,Down,1,0,0,9.471302248399594,6.167782326365632,75.34101238741627,2,0.19694749433901393,S.R.6.01,11.671650279446489,ROUTE_LOOP
S089,1,0,501.704125113618,goods,3,1,8.869960970390375,single,ABS,Main,3,0,1,5.815492098640755,7.8252517728849655,107.07284626651236,10,10.876092637851468,PR115,10.375853212075175,NORMAL
S090,1,0,470.53875437471174,goods,1,1,7.808873429251989,double,ABS,Loop,4,0,0,10.258240360660071,1.7636287830290898,72.52177041341875,2,12.108968077752593,M6,16.217084165740317,NORMAL
S091,0,0,827.4889437533154,goods,5,0,8.463115265778304,double,ABS,Down,5,1,0,11.05264666543198,3.423920908804068,102.77446932988315,2,15.60768793444509,G&R.57,18.600458545686084,NORMAL
S092,0,0,550.207847389573,passenger,5,0,11.35524651469169,double,AT,Down,0,0,0,14.01318805786026,3.2336728633799825,112.42006478712874,1,0.19418845938073837,G&R.52,17.945635271099633,NORMAL
S093,1,0,435.5339484818989,passenger,4,1,3.106398304903462,double,ABS,Main,0,0,0,18.184709921659174,1.0276727166877844,82.8356628319202,4,16.996639769888695,PR115,11.035097872282627,NORMAL
S094,0,0,805.82364373973,goods,3,1,8.129317907055377,single,AT,Down,0,0,0,10.026011888265614,3.395106192500983,111.56160531430503,3,23.28443405097108,G&R.60,0.9212429581746429,KRANK_PRIORITY
S095,1,0,778.2673697259886,express,4,1,7.973459266337862,single,ABS,Loop,1,0,0,9.505288825631286,7.167268830397936,83.30534429236495,1,15.511491252615079,PR117,0.9622540188176145,NORMAL
S096,1,0,787.0790251665597,goods,5,1,9.633791141637914,multiple,AT,Main,4,0,0,15.675982136064395,1.3604498905304254,71.92493976236581,1,3.710786623006382,PR107,2.700261840532512,NORMAL
S097,1,0,476.2920774975836,goods,1,0,7.515177486723045,multiple,ABS,Down,0,0,0,11.097789319537066,0.5764487389451751,99.52736063492304,4,20.104274177594,S.R.9.03,33.485476724247164,NORMAL
S098,1,0,690.8665830691222,goods,3,1,5.651489793049107,double,ABS,Up,0,0,0,13.498466034932237,8.05523244040766,85.80129923070069,0,23.65822924809554,S.R.10.01,16.633248275883762,NORMAL
S099,1,0,468.26387226604515,passenger,3,1,9.877562718418982,single,ABS,Up,2,1,0,10.20340439493427,5.338271780760947,84.7605776954871,2,1.7061791320956408,S.R.6.01,11.062971349364261,ROUTE_LOOP
S100,1,0,684.0773272670446,goods,1,0,5.2193358417547255,multiple,ABS,Main,2,0,0,11.184744090993714,5.81673043129546,85.23746199690098,2,19.326866110111833,G&R.57,7.005892989458678,NORMAL
S101,1,0,806.3833041254256,express,1,0,5.328933040290572,double,AWS,Up,4,0,0,9.560562684722926,18.447158620630667,89.26785248063246,4,17.14229440737856,S.R.9.01,4.420539958274866,NORMAL
S102,1,0,540.272320327693,goods,3,0,5.587933826381528,single,AT,Loop,3,0,0,15.278457863219092,1.7735496463008928,101.11814247867774,4,14.02448654296952,G&R.67,2.878681294979571,NORMAL
S103,1,1,546.0057020621805,express,4,0,6.507946285055464,single,AT,Up,3,1,0,15.876807188424788,1.3080019242376146,116.73545667774124,2,22.261539499903968,G&R.65,74.79152656885702,NORMAL
S104,0,0,647.0167825886143,passenger,3,1,7.6288192169028965,single,AT,Up,1,0,0,7.025660375294311,0.7430066820659118,89.96061411799761,3,22.876448610341512,G&R.54,2.201066849006129,NORMAL
S105,1,0,534.8743046894928,goods,3,1,8.817346492828758,multiple,AT,Down,3,0,0,16.443334775134563,0.22145061071242628,93.45164531661999,3,8.471601384341195,S.R.15.01,1.2927241795346636,NORMAL
S106,1,1,809.236318421813,passenger,3,0,8.191733683791758,double,ABS,Up,1,0,0,12.570493809912124,4.874342687218099,73.2575842368312,3,2.1290995738908594,S.R.9.01,15.356170315910457,NORMAL
S107,0,0,614.0164305567754,express,3,1,9.340339527464455,double,ABS,Up,1,0,0,9.706608563275182,6.137916652049654,89.99231867021386,0,8.364919720811368,S.R.14.01,4.9336683190524075,NORMAL
S108,1,0,514.4069893263522,express,5,1,9.204218304971857,single,AT,Loop,2,0,0,16.51450166982753,7.827777780786236,82.23054433031551,0,14.603394127623805,PR109,6.808499282563356,NORMAL
S109,1,1,511.9016007740465,goods,3,0,11.734439544269623,multiple,AT,Main,0,0,0,10.014710645907364,5.951294864519948,83.20797915931315,3,2.346033336869316,S.R.6.03,16.746487977823712,NORMAL
S110,1,0,794.970488812408,passenger,5,0,7.245634367512533,single,ABS,Loop,2,1,0,13.665671067133287,4.5713170411475,76.45576764171895,3,23.21017238466051,S.R.22.01,43.73688615162668,NORMAL
S111,1,0,747.0284234808718,goods,3,1,9.108308327707292,single,ABS,Loop,1,0,0,16.240408097701994,2.03675876452607,96.48655166456153,0,1.374304903381554,G&R.66,5.476596718830953,NORMAL
S112,0,0,717.5982933901699,express,1,0,11.758116616745736,double,ABS,Up,4,0,0,11.27416337755901,20.470804706186378,102.7226721119,2,11.445565049097912,PR117,13.210360863820226,NORMAL
S113,0,0,692.4671125457053,passenger,5,1,9.427955470114991,multiple,AT,Main,1,0,0,13.567661759239096,0.15715272233679062,93.08523251538868,2,3.1483074526717374,PR104,2.1816415841315475,NORMAL
S114,1,1,691.1310792222204,express,4,1,6.6104717708078695,multiple,AT,Loop,2,0,0,6.320809548118674,0.6562706888283528,90.24018898583519,0,20.433806528316655,S.R.10.01,13.897459934598617,NORMAL
S115,0,0,680.7111239307336,express,1,0,6.03957406225519,single,ABS,Down,0,1,0,22.684823671511598,1.0801711281399984,85.87484177136851,2,12.958134263449324,S.R.13.01,3.4316855834005704,NORMAL
S116,0,1,829.1473243122447,goods,1,1,9.792050237964837,single,AWS,Main,2,0,0,24.106097477122965,3.4757095707187475,128.38174853154393,3,10.285351806498184,ABS2,1.6904326148424644,NORMAL
S117,1,0,486.45382906185114,goods,1,1,8.937518294051348,multiple,ABS,Up,4,0,1,11.935893164257598,1.0559220224865427,92.78609325029025,1,9.192455549937895,S.R.6.01,10.804687784923672,ROUTE_LOOP
S118,0,0,467.5913707835491,express,1,1,7.419484238336332,single,ABS,Loop,0,0,0,8.642185866113719,2.740028060701724,90.3581777271532,4,7.845831312764033,W1,9.788856302347504,SPEED_50kmph
S119,1,0,708.2265749731001,goods,1,0,13.410408520941374,multiple,ABS,Up,4,1,0,12.014536394955082,4.355090188789429,97.27744187361192,2,12.456292594322107,PR102,8.8958769139218,SPEED_70kmph
S120,0,0,780.2044528868603,passenger,4,1,5.777570888193905,single,ABS,Loop,4,1,0,17.337245969636662,0.9740183435337891,86.65468310015272,3,23.71764138812938,S.R.16.02,7.104680213885041,NORMAL
S121,0,0,688.9164928711444,goods,5,1,4.736087924177388,single,AT,Down,1,0,0,11.523436593335191,1.8241263030612365,69.51656371438864,2,18.118844508533762,PR114,2.4720421535110817,NORMAL
S122,1,0,526.4936733188243,express,1,1,6.653780007050987,multiple,ABS,Main,2,0,0,13.838578200823875,2.287252817010086,82.84524337290372,3,6.091510994282935,S.R.18.01,79.33137672296891,NORMAL
S123,1,0,730.9363795236843,goods,3,0,10.624535401267996,double,AT,Loop,1,0,0,12.392820822876693,0.9427792726650952,89.54213694997335,2,8.507306424338319,G&R.72,2.113060594038037,NORMAL
S124,1,0,595.1336324601045,goods,3,1,4.755614365187767,single,ABS,Loop,2,1,0,7.352339267501068,0.5910980222149853,87.89315347381012,2,15.145650771931678,PR118,0.5050858590219499,NORMAL
S125,1,0,578.7279814975078,goods,1,1,5.811853547332913,single,ABS,Main,1,1,0,14.165567479044928,0.7089400262035273,87.64475730435066,0,18.234932769477197,G&R.51,16.69299861292921,NORMAL
S126,0,0,601.6669548198086,goods,4,0,7.168591692829558,single,ABS,Down,2,0,0,12.06004701668011,0.26950258694816653,84.5999705851466,2,7.176390349085352,S.R.16.02,1.3812152475070583,NORMAL
S127,0,0,544.4352166309596,passenger,4,0,9.207912315265395,single,AT,Up,4,0,1,8.271512834540257,4.199889133688902,90.49761066086317,1,21.32956190192614,W3,35.430106967002736,NORMAL
S128,1,0,492.52686413320805,passenger,1,1,7.891505496641229,single,AWS,Down,2,1,0,15.361109996671757,0.43017936615266744,76.46911190374134,1,13.001684798321625,PR107,5.2026814814632525,NORMAL
S129,1,0,626.4121083438812,express,5,1,7.917066755122677,multiple,AT,Down,0,1,0,13.907312925620289,1.607417681793848,80.95794018326013,1,10.467405298716791,PR106,0.09723617273171223,NORMAL
S130,1,0,575.2129292440727,goods,5,0,13.522322138782313,double,ABS,Down,1,0,0,14.030456565303906,6.055197465589875,102.95188430424463,3,4.482298540908732,G&R.52,33.85417191346526,NORMAL
S131,1,0,853.4908953019277,express,3,1,8.030785065774891,double,ABS,Main,2,0,0,19.3247733748694,0.9235094535706383,78.52759930925362,1,18.43555026562946,AT1,14.825325071955724,NORMAL
S132,1,0,491.9168437792661,goods,3,1,6.277317940862412,multiple,ABS,Main,1,0,1,13.906264434636807,0.21418882397178554,69.21226620193525,2,14.357095083972666,PR112,16.46359854792984,NORMAL
S133,1,0,678.8790102668544,goods,3,0,9.929726391900342,double,ABS,Loop,2,0,0,11.954645691713214,0.16082231282816248,100.26270475099395,1,13.932441551010358,S.R.16.01,24.4704719203016,NORMAL
S134,0,0,791.5522477740285,passenger,1,0,8.896485710516835,double,ABS,Main,0,0,0,12.638922237910133,3.0409915918794717,99.87619539749944,2,3.033056822202557,PR103,1.1078552223142861,SPEED_60kmph
S135,1,0,725.8119666543275,goods,1,0,8.933609319768852,double,ABS,Main,2,0,0,12.678763547743266,4.792873783343286,112.77720630929656,0,13.845035090399719,PR110,4.957518153459749,NORMAL
