section_id,line_type,is_electrified,block_length_km,loop_length_m,gradient_permille,curvature_class,max_speed_kmph,perm_speed_restr_kmph,signal_type,headway_min,section_capacity_tph,section_utilization,maint_block_active,maint_start_time,maint_end_time,train_id,train_type,priority_class,train_length_m,axle_load_tonnes,traction_type,accel_category,braking_category,origin_station,dest_station,stopping_pattern,sch_arrival_time,sch_departure_time,actual_arrival_time,actual_departure_time,delay_prev_checkpoint_min,dwell_scheduled_min,dwell_actual_min,buffer_time_min,time_of_day_hour,day_of_week,is_holiday,is_peak_hour,direction,overtake_planned,conflicts_next_15min,headway_ahead_min,headway_behind_min,crossings_junction,congestion_index,incident_flag,incident_type,weather_category,weather_severity,temp_speed_restr,worksite_severity,delay_next_min,high_delay_risk
SEC001,double,True,5.6,578.0,-10.6,mild,110,70,absolute,5,9,0.63,True,2025-12-05 03:22:09,2025-12-05 05:22:39,Train_30169,express,3,862.0,19.3,electric,medium,standard,SC,BCT,all_stops,2025-12-05 07:26:53,2025-12-05 07:37:25,2025-12-05 07:31:33,2025-12-05 07:46:59,24.52,5.7,6.63,7.5,6.7,0,False,False,down,True,2,15.3,12.3,2,0.61,False,none,fog,0.78,False,none,39.5,True
SEC001,single,True,7.6,940.0,1.6,straight,60,0,automatic,5,17,0.51,False,2025-12-05 01:32:47,2025-12-05 05:53:00,Train_49095,passenger,2,466.0,21.2,electric,medium,standard,DHNE,MAS,non_stop,2025-12-05 11:56:13,2025-12-05 12:00:50,2025-12-05 12:11:03,2025-12-05 12:01:01,20.07,8.1,10.13,5.4,11.2,5,True,False,up,False,4,19.5,11.2,1,0.26,False,none,clear,0.18,False,low,24.3,True
SEC003,double,True,4.8,501.0,-6.1,straight,90,0,automatic,10,14,0.65,True,2025-12-05 01:22:54,2025-12-05 04:37:19,Train_12180,freight,4,695.0,21.9,electric,fast,standard,SC,HYB,non_stop,2025-12-05 14:47:23,2025-12-05 14:59:23,2025-12-05 14:49:11,2025-12-05 15:02:15,16.19,9.0,9.67,6.2,13.9,5,False,False,up,False,3,18.9,16.2,4,0.3,False,none,rain,0.71,False,low,28.0,True
SEC003,double,True,4.7,826.0,-7.1,straight,90,70,absolute,5,11,0.45,False,2025-12-05 02:05:33,2025-12-05 05:42:18,Train_47904,MEMU,1,837.0,19.8,electric,medium,standard,SC,RC,all_stops,2025-12-05 19:01:43,2025-12-05 19:08:55,2025-12-05 19:11:51,2025-12-05 19:15:27,10.22,3.7,4.03,3.6,18.9,0,False,True,down,False,0,17.4,20.7,2,0.94,False,none,clear,0.48,False,low,35.0,True
SEC002,single,False,8.1,1005.0,-11.8,straight,60,0,MACL,10,12,0.73,False,2025-12-05 02:54:22,2025-12-05 05:51:03,Train_91822,freight,2,844.0,22.4,electric,fast,standard,SC,HYB,all_stops,2025-12-05 10:50:33,2025-12-05 11:01:16,2025-12-05 10:54:21,2025-12-05 11:25:19,-1.64,6.2,6.47,6.9,10.6,0,False,False,up,False,5,14.7,21.3,0,0.27,False,none,clear,0.04,True,high,16.6,True
SEC004,double,True,3.4,1148.0,-14.0,mild,90,50,absolute,10,17,0.59,False,2025-12-05 04:29:05,2025-12-05 08:24:19,Train_32882,express,3,629.0,19.4,electric,medium,standard,DHNE,HYB,limited_stops,2025-12-05 07:08:40,2025-12-05 07:22:35,2025-12-05 07:18:01,2025-12-05 07:33:16,12.19,9.0,8.59,2.3,6.7,4,False,False,down,False,4,11.5,11.6,3,0.89,False,none,clear,0.08,False,high,28.3,True
SEC004,single,True,6.0,845.0,8.5,straight,110,0,MACL,10,9,0.41,False,2025-12-05 02:45:20,2025-12-05 06:22:37,Train_67464,express,2,660.0,24.3,electric,medium,standard,DHNE,MAS,all_stops,2025-12-05 13:19:38,2025-12-05 13:34:37,2025-12-05 13:31:45,2025-12-05 13:56:35,16.73,6.5,6.94,7.6,13.2,0,False,False,down,True,6,14.5,21.5,3,0.36,False,none,clear,0.76,False,low,28.4,True
SEC003,double,False,5.8,1088.0,-11.8,straight,60,70,MACL,7,23,0.63,False,2025-12-05 02:25:12,2025-12-05 04:58:34,Train_10926,MEMU,4,810.0,21.7,electric,medium,standard,SC,HYB,limited_stops,2025-12-05 07:56:07,2025-12-05 08:04:36,2025-12-05 08:07:17,2025-12-05 08:05:17,1.0,10.8,10.92,2.4,7.8,3,False,True,up,False,5,8.6,4.4,4,0.81,False,none,rain,0.55,False,none,30.2,True
SEC004,single,True,3.3,1062.0,11.7,straight,110,0,MACL,7,11,0.79,False,2025-12-05 05:54:08,2025-12-05 11:29:26,Train_33024,freight,1,422.0,23.1,diesel,fast,standard,KZJ,HYB,limited_stops,2025-12-05 06:27:09,2025-12-05 06:33:43,2025-12-05 06:27:17,2025-12-05 06:51:15,6.05,9.9,9.41,7.8,6.4,1,False,False,down,False,4,13.7,20.1,1,0.7,False,none,clear,0.14,False,none,26.1,True
SEC004,single,False,3.5,707.0,-8.6,mild,110,70,automatic,3,10,0.75,True,2025-12-05 02:41:49,2025-12-05 04:56:23,Train_35984,passenger,2,706.0,24.9,electric,medium,standard,BPQ,HYB,non_stop,2025-12-05 10:52:40,2025-12-05 10:56:08,2025-12-05 10:53:44,2025-12-05 11:17:16,1.72,7.4,9.69,2.7,10.3,2,False,False,up,False,2,17.4,19.5,0,0.54,False,none,clear,0.38,False,none,28.5,True
SEC001,double,True,5.1,1112.0,7.8,mild,60,0,MACL,5,14,0.46,False,2025-12-05 05:03:55,2025-12-05 07:57:38,Train_68465,MEMU,2,865.0,18.8,electric,medium,standard,DHNE,MAS,non_stop,2025-12-05 10:34:56,2025-12-05 10:48:12,2025-12-05 10:44:59,2025-12-05 11:10:39,23.97,4.6,5.9,4.5,10.3,2,False,False,up,True,6,17.7,3.6,2,0.91,False,none,clear,0.86,False,none,46.5,True
SEC003,double,True,3.7,948.0,9.7,straight,130,30,automatic,3,22,0.93,False,2025-12-05 01:48:36,2025-12-05 06:39:29,Train_42697,passenger,1,675.0,25.0,electric,fast,advanced,KZJ,HYB,all_stops,2025-12-05 19:36:14,2025-12-05 19:45:52,2025-12-05 19:54:33,2025-12-05 19:49:09,6.88,4.3,4.51,4.5,19.5,3,False,True,up,False,0,19.3,22.4,1,0.35,False,none,fog,0.03,False,low,16.7,True
SEC005,double,True,5.6,573.0,8.8,straight,90,0,absolute,7,9,0.77,True,2025-12-05 02:54:33,2025-12-05 07:37:15,Train_14296,express,4,508.0,23.1,electric,medium,standard,SC,MAS,non_stop,2025-12-05 11:00:15,2025-12-05 11:05:21,2025-12-05 11:09:08,2025-12-05 11:07:09,-0.07,10.3,9.57,6.8,10.4,5,False,False,up,False,4,14.4,6.1,4,0.87,False,none,clear,0.37,False,none,26.4,True
SEC003,double,True,6.3,1157.0,11.2,sharp,90,0,MACL,3,23,0.73,False,2025-12-05 01:15:38,2025-12-05 03:23:59,Train_10596,MEMU,2,825.0,21.9,electric,slow,standard,SC,HYB,all_stops,2025-12-05 12:12:02,2025-12-05 12:16:17,2025-12-05 12:27:25,2025-12-05 12:16:18,19.06,5.9,4.91,3.4,11.8,6,False,False,up,False,1,3.9,3.7,4,0.57,False,none,clear,0.02,False,none,25.0,True
SEC005,double,True,6.8,624.0,-4.8,straight,110,70,MACL,7,11,0.79,False,2025-12-05 05:07:42,2025-12-05 10:58:36,Train_24047,freight,4,615.0,24.9,electric,medium,standard,BPQ,BCT,non_stop,2025-12-05 16:59:18,2025-12-05 17:03:03,2025-12-05 17:02:49,2025-12-05 17:14:14,2.41,10.7,12.69,4.7,16.2,5,False,False,down,False,3,18.3,9.5,2,0.47,False,none,fog,0.89,False,low,31.3,True
SEC001,single,False,6.0,829.0,14.6,straight,90,70,MACL,3,16,0.71,False,2025-12-05 02:58:55,2025-12-05 05:46:56,Train_22359,passenger,2,562.0,23.5,electric,medium,standard,SC,RC,non_stop,2025-12-05 16:34:29,2025-12-05 16:45:02,2025-12-05 16:44:04,2025-12-05 17:09:40,15.24,10.7,12.31,2.3,15.6,1,False,False,down,True,1,15.9,17.8,4,0.59,False,none,clear,0.85,True,none,40.3,True
SEC002,double,True,5.1,826.0,-6.6,straight,110,70,absolute,10,22,0.62,False,2025-12-05 02:47:52,2025-12-05 06:03:28,Train_46128,express,2,504.0,19.1,diesel,fast,standard,DHNE,MAS,limited_stops,2025-12-05 15:23:01,2025-12-05 15:25:54,2025-12-05 15:41:20,2025-12-05 15:48:59,-1.89,4.2,7.09,7.6,15.1,0,False,False,down,True,2,14.5,10.4,4,0.58,False,none,rain,0.85,False,none,28.6,True
SEC004,double,True,3.7,938.0,13.0,straight,60,50,automatic,3,22,0.67,False,2025-12-05 05:57:12,2025-12-05 10:23:25,Train_76657,express,4,426.0,23.4,diesel,medium,standard,NDLS,BCT,all_stops,2025-12-05 18:29:48,2025-12-05 18:38:10,2025-12-05 18:40:55,2025-12-05 18:45:07,0.25,8.7,8.86,3.1,18.3,1,False,True,down,True,5,11.4,17.5,4,0.86,False,none,clear,0.2,False,none,25.0,True
SEC001,double,False,4.4,965.0,-1.9,straight,130,30,automatic,5,12,0.65,True,2025-12-05 03:41:28,2025-12-05 09:05:43,Train_14459,passenger,4,656.0,23.5,electric,medium,advanced,DHNE,MUE,all_stops,2025-12-05 17:59:39,2025-12-05 18:13:08,2025-12-05 18:02:10,2025-12-05 18:28:47,15.83,5.2,8.15,3.4,17.1,6,False,True,down,False,1,14.1,22.1,3,0.73,False,none,fog,0.43,False,low,29.6,True
SEC004,single,True,5.3,663.0,-13.3,straight,110,0,absolute,5,19,0.79,False,2025-12-05 01:45:07,2025-12-05 06:22:45,Train_82178,freight,3,645.0,23.5,electric,slow,standard,BPQ,MAS,all_stops,2025-12-05 06:30:47,2025-12-05 06:36:31,2025-12-05 06:36:14,2025-12-05 06:46:23,-0.76,7.0,7.73,6.1,6.2,0,False,False,up,False,7,7.6,10.2,2,0.57,False,none,rain,0.68,False,none,31.4,True
SEC002,double,False,8.1,747.0,8.5,sharp,110,0,absolute,5,13,0.82,False,2025-12-05 03:35:17,2025-12-05 06:25:47,Train_89033,passenger,2,511.0,24.7,electric,slow,standard,BPQ,HYB,limited_stops,2025-12-05 07:41:02,2025-12-05 07:50:34,2025-12-05 07:50:45,2025-12-05 07:56:02,20.33,6.0,6.95,3.0,6.8,6,False,False,up,False,7,11.6,4.6,1,0.76,True,signal_failure,clear,0.02,True,none,30.5,True
SEC002,single,True,4.1,601.0,8.6,straight,110,50,MACL,7,16,0.57,False,2025-12-05 01:24:48,2025-12-05 03:25:50,Train_97312,MEMU,4,591.0,21.2,electric,medium,advanced,BPQ,RC,non_stop,2025-12-05 08:09:49,2025-12-05 08:17:25,2025-12-05 08:19:48,2025-12-05 08:25:12,5.75,2.8,2.23,7.9,7.6,5,False,True,down,True,0,12.0,10.2,2,0.51,False,none,rain,0.42,False,none,22.6,True
SEC001,double,True,5.3,588.0,-9.1,straight,110,0,automatic,5,15,0.83,False,2025-12-05 04:38:15,2025-12-05 10:27:00,Train_68838,freight,3,546.0,24.3,electric,medium,standard,BPQ,MAS,all_stops,2025-12-05 07:03:40,2025-12-05 07:09:29,2025-12-05 07:07:32,2025-12-05 07:09:49,23.44,9.4,11.19,6.1,6.4,5,False,False,down,True,2,11.4,18.9,1,0.68,False,none,clear,0.1,False,low,31.1,True
SEC002,double,True,7.0,1078.0,9.7,mild,90,0,automatic,5,23,0.69,False,2025-12-05 01:06:28,2025-12-05 05:42:33,Train_74482,passenger,3,601.0,21.9,diesel,fast,standard,DHNE,BCT,limited_stops,2025-12-05 12:06:03,2025-12-05 12:17:50,2025-12-05 12:14:48,2025-12-05 12:26:04,12.16,7.9,10.1,3.9,11.4,3,False,False,down,True,6,20.0,19.2,0,0.45,False,none,clear,0.31,True,none,23.0,True
SEC005,double,True,6.9,1026.0,-10.3,mild,60,50,MACL,3,23,0.46,False,2025-12-05 04:45:56,2025-12-05 09:31:56,Train_91201,passenger,2,805.0,18.5,diesel,medium,advanced,DHNE,BCT,non_stop,2025-12-05 18:07:23,2025-12-05 18:19:06,2025-12-05 18:15:57,2025-12-05 18:25:48,14.29,8.6,11.44,2.5,18.1,0,False,True,down,False,2,14.3,13.5,1,0.8,False,none,clear,0.23,False,high,29.7,True
SEC002,double,True,8.3,810.0,-10.5,sharp,90,70,absolute,10,11,0.66,False,2025-12-05 01:41:53,2025-12-05 04:00:49,Train_36698,passenger,2,418.0,19.0,electric,medium,standard,DHNE,HYB,limited_stops,2025-12-05 20:44:59,2025-12-05 20:50:15,2025-12-05 20:54:33,2025-12-05 20:58:41,1.47,7.0,8.53,6.6,19.9,4,False,True,up,False,5,11.2,14.9,0,0.38,False,none,rain,0.22,True,none,20.1,True
SEC004,single,True,4.0,567.0,9.3,sharp,110,50,absolute,3,13,0.76,False,2025-12-05 05:34:47,2025-12-05 11:24:36,Train_79774,freight,2,731.0,23.2,diesel,slow,standard,DHNE,BCT,non_stop,2025-12-05 14:05:57,2025-12-05 14:16:56,2025-12-05 14:17:49,2025-12-05 14:40:04,24.2,2.9,5.15,7.2,13.8,3,False,False,down,False,5,16.6,7.9,4,0.32,False,none,rain,0.36,False,low,33.5,True
SEC004,double,True,3.1,815.0,-6.3,straight,110,50,automatic,7,9,0.77,False,2025-12-05 05:46:04,2025-12-05 08:01:34,Train_25899,freight,3,734.0,20.3,diesel,medium,advanced,KZJ,MAS,limited_stops,2025-12-05 16:07:45,2025-12-05 16:20:10,2025-12-05 16:21:15,2025-12-05 16:42:09,12.56,7.0,6.4,6.5,15.5,6,False,False,down,True,1,5.1,14.6,2,0.63,False,none,clear,0.42,False,none,31.0,True
SEC004,double,True,4.8,706.0,-12.7,mild,110,0,automatic,7,14,0.43,False,2025-12-05 02:52:39,2025-12-05 05:22:10,Train_96997,MEMU,3,516.0,23.1,electric,slow,advanced,NDLS,BCT,all_stops,2025-12-05 20:25:02,2025-12-05 20:27:08,2025-12-05 20:38:32,2025-12-05 20:42:38,24.39,9.3,9.96,5.2,19.5,2,False,True,down,False,6,13.8,10.2,1,0.23,False,none,fog,0.83,False,high,32.7,True
SEC004,single,False,3.8,1045.0,13.7,straight,110,30,automatic,10,22,0.6,False,2025-12-05 04:41:04,2025-12-05 07:58:59,Train_72553,passenger,4,440.0,22.9,electric,fast,standard,SC,HYB,limited_stops,2025-12-05 20:12:14,2025-12-05 20:21:54,2025-12-05 20:18:27,2025-12-05 20:26:52,16.63,6.1,8.94,5.7,19.6,2,False,True,down,False,3,9.6,18.9,2,0.23,False,none,rain,0.42,False,none,20.6,True
SEC005,double,True,6.0,568.0,1.7,straight,110,30,MACL,5,20,0.56,False,2025-12-05 05:56:54,2025-12-05 09:18:57,Train_42398,passenger,4,746.0,22.1,electric,medium,standard,SC,MUE,all_stops,2025-12-05 11:45:33,2025-12-05 11:57:08,2025-12-05 11:56:03,2025-12-05 12:17:48,17.2,6.9,8.12,2.8,10.9,0,False,False,up,False,4,16.6,15.3,0,0.34,False,none,clear,0.37,False,none,27.3,True
SEC003,single,True,7.9,816.0,-1.6,straight,90,0,MACL,5,21,0.66,True,2025-12-05 05:21:50,2025-12-05 09:45:22,Train_69120,express,1,623.0,18.3,electric,slow,standard,BPQ,BCT,limited_stops,2025-12-05 15:46:57,2025-12-05 15:55:32,2025-12-05 15:52:20,2025-12-05 16:12:17,16.18,11.0,12.72,7.7,15.5,0,False,False,down,False,5,18.5,21.6,3,0.31,True,none,clear,0.28,False,low,23.7,True
SEC001,double,True,6.8,914.0,0.1,mild,90,0,MACL,3,10,0.88,False,2025-12-05 05:41:48,2025-12-05 11:25:39,Train_54215,express,2,796.0,19.0,diesel,fast,advanced,BPQ,HYB,limited_stops,2025-12-05 21:23:37,2025-12-05 21:29:48,2025-12-05 21:41:12,2025-12-05 21:53:48,3.8,11.8,12.73,6.4,20.9,4,False,False,down,False,7,4.0,16.8,3,0.88,False,none,rain,0.37,False,low,32.5,True
SEC004,double,True,3.7,1190.0,5.1,straight,90,70,automatic,7,14,0.91,False,2025-12-05 05:46:30,2025-12-05 08:58:35,Train_12751,passenger,4,683.0,19.5,electric,fast,standard,DHNE,RC,limited_stops,2025-12-05 11:42:17,2025-12-05 11:49:16,2025-12-05 11:49:56,2025-12-05 11:53:03,9.42,10.9,10.76,7.2,11.2,4,False,False,up,False,7,7.1,5.7,3,0.42,False,none,clear,0.41,False,none,28.1,True
